Airline,Review No,Sentence No,Sentence,Luggage,Staff,In-flight/on-board service,Airline as a whole,Service before and after the flight,Flight in general,Comfort while waiting,Meals,Cabin,Transportation to the plane
Qatar Airways,1,1,Qatar Airways lost my luggage and refused to deliver it after 5 horrible days in a different country.,2,0,0,0,0,0,0,0,0,0
Qatar Airways,1,2,"Terrible staff, no professionalism at all, no one answers emails and it's impossible to solve anything.",0,2,0,0,2,0,0,0,0,0
Qatar Airways,1,3,They make it seem like it was your fault somehow and have the AUDACITY to find ways for you to solve their problems.,0,2,0,0,2,0,0,0,0,0
Qatar Airways,1,4,"Qatar Airways: ""Why don't you hire someone to pick up the luggage from the airport?""",2,2,0,0,2,0,0,0,0,0
Qatar Airways,1,5,How dare you?,0,2,0,0,2,0,0,0,0,0
Qatar Airways,1,6,Everyone is trying to copy Emirates business model and offers services to every destination in the middle east by portraing as providers of a quality service - but you cant handle luggage and still wants me to pick it up from the airport after 5 days?,2,2,0,0,2,0,0,0,0,0
Qatar Airways,1,7,When I am in a different country?,0,2,0,0,2,0,0,0,0,0
Qatar Airways,1,8,And you KNOW I AM IN QUARANTINE AND CANNOT LEAVE THE HOTEL?,0,1,0,0,1,0,0,0,0,0
Qatar Airways,1,9,Terrible and un-humane.,0,1,0,0,1,0,0,0,0,0
Qatar Airways,1,10,They will promptly sell you a 2000 USD ticket but when they make a mistake and lose your luggage for almost a week?,2,0,0,0,0,0,0,0,0,0
Qatar Airways,1,11,Don't even try contacting them,0,0,0,1,0,0,0,0,0,0
Qatar Airways,2,12,Flew Doha to Brisbane Business Class on Tuesday 4th January,0,0,0,0,0,0,0,0,0,0
Qatar Airways,2,13,Couldn't fault the flight and on board service.,0,0,5,0,0,5,0,0,0,0
Qatar Airways,2,14,"Flight arrived 15 minutes early into Brisbane, just what you want after a long haul flight.",0,0,0,0,0,5,0,0,0,0
Qatar Airways,2,15,Well done Qatar.,0,0,0,5,0,0,0,0,0,0
Qatar Airways,3,16,Flew Manchester to Dohar Business Class on Tuesday 4th January,0,0,0,0,0,0,0,0,0,0
Qatar Airways,3,17,"The flight was 90 minutes late leaving but made up time and only arrived 30 minutes late, still enough time for me to get my connecting flight to Brisbane",0,0,0,0,0,3,0,0,0,0
Qatar Airways,4,18,"Firstly, for no apparent reason my initial flight got cancelled earlier and I had to rebook a new flight which they could only give me a new flight date for a week later.",0,0,0,0,2,0,0,0,0,0
Qatar Airways,4,19,"I came a week later with all my documentation in place, PCR done within the required time, all my UK paperwork in accordance with UK regulation and everything in order.",0,0,0,0,0,0,0,0,0,0
Qatar Airways,4,20,"They refused to let me board because according to Qatar I had not met the UK regulations due to the fact that although I was transiting to Jersey in Heathrow, I was still required to book a PCR test in London upon arrival.",0,0,0,0,2,0,0,0,0,0
Qatar Airways,4,21,Although according to the actual regulations in the UK which I had followed accordingly.,0,0,0,0,2,0,0,0,0,0
Qatar Airways,4,22,"From their end there was no effort to assist me in the matter, their solution was simply we cannot let you board the flight so I had to cancelled my flight",0,0,0,0,1,0,0,0,0,0
Qatar Airways,5,23,"To begin with our flight was delayed for 3 hours to take off from the US when we reached qatar, after waiting for 3 hours the plane taking off from qatar to lebanon left without us we were supposed to be on the flight going to lebanon from qatar.",0,0,2,0,0,0,0,0,0,0
Qatar Airways,5,24,They gave us a free ticket for our next flight but WITHOUT ANY SERVICES.,0,3,0,0,2,0,0,0,0,0
Qatar Airways,5,25,No rooms to sleep we had to sleep on chairs for the next 12 hrs waiting for our next flight .,0,0,0,0,0,0,1,0,0,0
Qatar Airways,5,26,They offered one meal but It took them too long to do that .,0,3,0,0,3,0,0,4,0,0
Qatar Airways,5,27,In addition to that they BROKE MY 2 NEW TRAVEL BAGS.,1,0,0,0,0,0,0,0,0,0
Qatar Airways,5,28,QATAR AIRLINE  IS THE WORST AIRLINE EVER NOT RECOMMENDED AT ALL.,0,0,0,1,0,0,0,0,0,0
Qatar Airways,5,29,Never traveling with them again shame.,0,0,0,1,0,0,0,0,0,0
Qatar Airways,6,30,Qatar states you have 4000 entertainment option including wifi.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,6,31,I did not have anything I asked to go to economy so I could watch a movie.,0,0,2,0,0,0,0,0,0,0
Qatar Airways,6,32,I was told that was not allowed.,0,0,1,0,0,0,0,0,0,0
Qatar Airways,6,33,I felt they did not provide the amenities promised.,0,0,1,0,0,0,0,0,0,0
Qatar Airways,6,34,"I complained to customer service and was offered $250 on a $4400 ticket, I asked for $1000 as only the one flight was affected.",0,0,3,0,0,0,0,0,0,0
Qatar Airways,6,35,I would have been happy to get $1000 on a voucher on Qatar or a codeshare.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,6,36,"By time I received their response I have 4 months to use the ticket, also not appropriate",0,0,3,0,0,0,0,0,0,0
Qatar Airways,7,37,"Please avoid this airline , they refunded my return ticket saying I asked for it when I DID NOT , they wanted me to buy a new ticket for 5 thousand dollars , this is how they treat their passengers , I’m a senior who has traveled with so many airlines but never faced a problem like I did with Qatar , avoid this airline",0,0,0,1,1,0,0,0,0,0
Qatar Airways,8,38,"Website says to phone them to change booking, but none of their phone lines are operational.",0,0,0,0,1,0,0,0,0,0
Qatar Airways,8,39,An automated voice just says ‘this call cannot be completed due to network error’.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,8,40,They have no email address listed either,0,0,0,0,2,0,0,0,0,0
Qatar Airways,8,41,"So I have had to message the airline on Instagram, and they are still not answering.",0,0,0,0,1,0,0,0,0,0
Qatar Airways,8,42,It’s just unacceptable.,0,0,0,1,0,0,0,0,0,0
Qatar Airways,9,43,Flight cancelled 3 day before departure date,0,0,0,0,2,0,0,0,0,0
Qatar Airways,9,44,NOT recommending,0,0,0,1,0,0,0,0,0,0
Qatar Airways,9,45,Customer Service not picking up phone,0,0,0,0,1,0,0,0,0,0
Qatar Airways,10,46,"Hi All, I had upgraded my ticket from economy to business class for my return trip from Deli to Copenhagen.",0,0,0,0,0,0,0,0,0,0
Qatar Airways,10,47,I had done the same for my trip from Copenhagen to Delhi.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,10,48,"Unfortunately, I could only do so for the Doha-Copenhagen sector as I could couldn't get the option to upgrade Delhi-Copenhagen sector.",0,0,0,0,3,0,0,0,0,0
Qatar Airways,10,49,Our flight from Deli was at 0340 but we reached airport early as I had booked a private lounge in Delhi airport to be on the safer side and catch enough sleep before flying.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,10,50,We reached the counter at 1045 and were informed that our ticket has unfortunately been cancelled.,0,0,0,0,2,0,0,0,0,0
Qatar Airways,10,51,It was not until 0115 that this situation was sorted and we were kept waiting at the counter.,0,0,0,0,2,0,0,0,0,0
Qatar Airways,10,52,"After the painful wait of close to 2,5 hours at the counter standing, by the time we reached the lounge after immigration it was 0215 with hardly any time left before boarding, so the complete money got wasted.",0,0,0,0,1,0,0,0,0,0
Qatar Airways,10,53,"Our experience just got worse, when we reached Copenhagen, 1 out of the 7 checked in bags didn't arrive. ",1,0,0,0,0,0,0,0,0,0
Qatar Airways,10,54,We were told that within 24/48 hours we will get our bag but we got the bag the 4th day with some of the perishables in the bag completely wasted.,1,0,0,0,0,0,0,0,0,0
Qatar Airways,10,55,I had written to Qatar Airways customer care and I got an standard auto created message which showed no personalization and lack of empathy.,0,0,0,0,2,0,0,0,0,0
Qatar Airways,10,56,On top of this I get an email to fill a post resolution survey.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,10,57,This is what I call  bad customer service.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,10,58,I hope this is just a one time anomaly.,0,0,0,3,0,0,0,0,0,0
Qatar Airways,10,59,they are really good inflight service,0,0,0,4,5,0,0,0,0,0
Qatar Airways,11,60,First time in my life we flew Qatar Airways.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,11,61,Overall a surprising good experience.,0,0,0,5,0,0,0,0,0,0
Qatar Airways,11,62,"Modern fleet, very nice staff on the ground and on board.",0,5,5,0,5,5,0,0,5,0
Qatar Airways,11,63,The Business Class cabin layout was in some ways unusual - I usually fly Miles &amp,0,0,0,0,0,0,0,0,5,0
Qatar Airways,11,64,More partners - but very comfortable and good equipped.,0,0,0,0,5,0,0,0,5,0
Qatar Airways,11,65,Flying backwards in a plane was something I never experienced in the past.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,11,66,Unusual but was not disturbing in any kind.,0,0,0,0,5,0,0,0,5,0
Qatar Airways,12,67,Qatar changed 1 leg of my fligh so I would have 9 hours during the night in Doha.,0,0,3,0,0,0,0,0,0,0
Qatar Airways,12,68,"Qatar wrote I could change, but it was impossible to do online, so I try call customer care.",0,0,0,0,0,0,0,0,0,0
Qatar Airways,12,69,i wait long time and when I finally get through my phone is blocked due to insufficient funds.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,12,70,"I try to cancel my flight and book another, but I fail to book another flight as Qatar tells me to call customer care.",0,0,0,0,1,0,0,0,0,0
Qatar Airways,12,71,"I call again, wait long , and customer care change my ticket and email it to me",0,0,0,0,3,0,0,0,0,0
Qatar Airways,12,72,1 month later I arrive at airport for my flight.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,12,73,Qatar cannot find my booking in their system and cannot tell me why or help me.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,12,74,"After 4 hours in the airport, I succeed getting through on phone to Qatar who tells me ticket was cancelled despite they never send me a confirmation of the cancellation and the last email was a ticket send from Qatar After I tried to cancel.",0,0,0,0,1,0,0,0,0,0
Qatar Airways,12,75,I am really surpriced of lack of support.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,12,76,"I did all I could and spend much time and money to phone calls, transport and PCR tests to make this flight",0,0,0,0,1,0,0,0,0,0
Qatar Airways,12,77,What a waste!,0,0,0,1,0,0,0,0,0,0
Qatar Airways,13,78,We flew from Doha to Madrid in Business Class.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,13,79,"Firstly, I have to say that the check-in experience was one of the best I have ever experienced for Business Class.",0,0,0,0,5,0,0,0,0,0
Qatar Airways,13,80,Our car drew up outside the Business Class area and a porter immediately took our bags.,5,5,0,0,5,0,0,0,0,0
Qatar Airways,13,81,"Inside the terminal there was a row of Business Class check-in desks, all fully staffed even at 5.30am.",0,0,0,0,5,0,0,0,0,0
Qatar Airways,13,82,The check-in process was quick and efficient.,0,0,0,0,5,0,0,0,0,0
Qatar Airways,13,83,"We had booked the Al Maha service and the our escort was summoned who whisked us through priority immigration and security checks, before taking us to the lounge.",0,0,0,0,5,0,0,0,0,0
Qatar Airways,13,84,"The lounge was very large and airy, but quite busy and frankly was a bit of a disappointment as it lacked a ""special"" feel.",0,0,0,0,0,0,4,0,0,0
Qatar Airways,13,85,"However, it did have the advantage of both a locker room so we did not have to drag hand baggage around with us, and a smoking room.",0,0,0,0,0,0,5,0,0,0
