id,title,text,username,language,rating,ratingtext
1,Lost my baggage provided no compensation Awful customer service,PIAC lost my baggage on January 2 2020 on PK786894 LHRISBKUL The baggage never arrived in KUL PIAC have taken no action to pay me the compensation I am owed and have remained uncommunicative in the ten months since this incidentAbsolutely the worst airline I have ever dealt with in over 30 years of travelling around the world,arcticantipodean,en,1,Very Bad
2,Another worse flight experience PK6754 Date of travel 8th November ,I was very happy when I planned my vacation and thought to surprise my family but unfortunately when I went to the airport I found out flight is delayed for 4 hours Flight took off around 6pm Pakistan time so it was not surprise anymore because I have to inform my family members as I was arriving very late  at night Secondly no social distance was maintained and 777 was totally full with passengers Third thing Air condition was on its full speed and it was chilling in the plane cannot understand that in summer AC doesnt work or they dont switched it ON and in winters it was on full speed I requested Cabin crew couple of times and every time they told me the same answer that yes we will reduce now but did nothing Finally I took out my jacket from my hand carry luggage and managed to cover myself for the rest of the flight duration Cabin crew Age was almost the age of my parents and Male cabin crew specially was so unprofessional looks like they are at that stage of their career when they dont give a damn about anything like take it or leave itAt the end my I would clearly mention that my purpose is not to disregard my National carrier but until when these things will be stopped I would really request Mr Arshad Malik to save our national carrier from this disaster service Look into these kind of matters why flight is delayed every single time we travel with PIA Why Cabin crew are so unprofessional Why we cant be proud of our National airline Being honest this is my last time I travelled with PIA and will stick to my decision until these kind of stupid issues will not be resolved ,abdulhaseeb346,en,1,Very Bad
3,Thieves,This is the worst airline in the world It took me 4000 to get them to book an ECONOMY FLIGHT  In the middle of a pandemic where other airlines are being accommodating PIA is seeing this as a business opportunity and upselling everything,368minas,en,1,Very Bad
4,Bad service,One of the worst customer service I heard a crew member calling a passenger a bastard I was shocked drinks limited seats has dust on them No entertainment Very unsafe plane to travel onAlot of passengers were complaining  but staff just never take notice very ignorant I even took an interview from them on my phone For desperdaise channel Habib Mirza,Sean7861,en,1,Very Bad
5,Worst airline ever,Dangerous flight asked for blanket was told they ran out asked for water told it was run out what kind of service is this,hamzal468,en,1,Very Bad
6,LYING DIRTY AIRLINE,This was the worst experience with an airline that I have ever had in my entire lifeGoing to be quick and say DO NOT BOOK ON THIS AIRLINE WHY because inside their planes the TV does not work food is terrible and workers are very rudeThe worst thing that they did is tell me 5 days prior to out flight that it has been cancelled then later we got a phone call from our travel agent who said that the flight wasnt cancelled but our seats wereSo they took our seats that we booked 6 months ago and gave it to someone else for double the price THEY SCAMMED US THE ACTUAL PIA SCAMMED USSo what should you guys do go with any other airline even if it takes 50 hours longer still these idiots arent worth it,993ahadm,en,1,Very Bad
7,Worst airline,Worst airline i hope government ban this stupid airline The title should be change from come fly with us to come die with us,assassins2020,en,1,Very Bad
8,Great Fly Experience LOve PIA,Reasonable fare good in flight service landing and take off on time Provides direct trips to most destinations is a best part Pakistan Zindabad,bismahsaif,en,5,Very Good
9,Ms Dua,If you wanna alive so dont travel in PIA flights even in domestic flight also Conditions of aeroplanes are so poor so better to avoid flight in PIA Your life is important dont make your life in trouble and the evidence is in front of our eyes3 horrible plane crashes and todays one happened from lhr to khi airline flight So be safe and be happy and avoid journey in PIA,Duaahmed123,en,1,Very Bad
10,PIA AIR WAYS WAS NOT FITT TO FIY  CHARGE ME DOUBLE PRICE ITS  NOT WORTH TO FLY PIA AIRWAYS WITH unsafe and not clean,hi every one just want to let you all know I been trivel in PK8757 pia airways in may 2020 was not save flight at all fill like thay not going to make it to London Heathrow airport that how Fills  like bet thanks to god its when all OK thay have change me to much and pia airways was solo durty from in side its was full off shirt  staff was not helpful at all staff was so rudeI only stay in airways I have to see my family and kids thay way other way I will get out pia air ways naver have this expected this at all thay service was sloop down and air bus was seats was full off  helt off pia air bus like any time will drop down I was just been playing all the time god get me home save thanks god we make it save to London I dont understand how gourmands let tham fly not safety at all for pasngers,Zan H,en,2,Bad
